1a1r_A|P27958|AC=BC	1a1r_C|O39914|AC=BC
1n59_A|P01901|AP	1n59_P|Q9QDK7|AP
1n5z_A|P80667|AP	1n5z_P|P53112|AP
1n6j_A|Q02080|AG=BG	1n6j_G|Q9Y6J0|AG=BG
1nb3_I|P01040|IP	1nb3_P|O46427|IP
1nrn_H|P00734|HR	1nrn_R|P25116|HR
1nwd_A|P0DP33|AB	1nwd_B|Q07346|AB
1nx0_A|P04574|AC	1nx0_C|P12675|AC
1o6k_A|P31751|AC	1o6k_C|P49841|AC
1o9a_A|P02751|AB	1o9a_B|Q53971|AB
1oj5_A|P70365|AB	1oj5_B|P42226|AB
1ol5_A|O14965|AB	1ol5_B|Q9ULW0|AB
1oqd_E|Q9Y275|EN=FN	1oqd_N|Q02223|EN=FN
1oqe_E|Q9Y275|EN=FN	1oqe_N|Q96RJ3|EN=FN
1ow6_A|Q05397|AD	1ow6_D|P49023|AD
1ozb_A|P44853|AI=BI	1ozb_I|P43803|AI=BI
1p4u_A|Q9NZ52|AB	1p4u_B|Q15276|AB
1pcx_A|P40482|AB	1pcx_B|P22804|AB
1pjn_B|P52293|BA	1pjn_A|P06180|BA
1ppe_E|P00760|EI	1ppe_I|P01074|EI
1q0w_B|P0CG63|BA	1q0w_A|P40343|BA
1q4q_G|Q24306|GK=IK	1q4q_K|Q9XYF4|GK=IK
1qls_A|P31950|AD	1qls_D|P04083|AD
1rdt_D|P37231|DE	1rdt_E|Q92793|DE
1rf3_A|Q13114|AB	1rf3_B|P36941|AB
1ry1_W|P14576|WS	1ry1_S|O62798|WS
1s6c_A|Q8R426|AB	1s6c_B|Q63881|AB
1s8d_A|P04439|AC	1s8d_C|O11818|AC
1s9w_A|P04439|AC	1s9w_C|P78358|AC
1sfi_A|P00760|AI	1sfi_I|Q4GWU5|AI
1ssh_A|P43603|AB	1ssh_B|P32790|AB
1sy9_A|P0DP33|AB	1sy9_B|Q03041|AB
1t01_A|P12003|AB	1t01_B|P26039|AB
1t3l_A|P54288|AB	1t3l_B|P07293|AB
1t5z_A|P10275|AB	1t5z_B|Q13772|AB
1tt5_B|Q8TBC4|BE	1tt5_E|P61081|BE
1ttw_A|Q7BTX0|AB	1ttw_B|Q93KQ4|AB
1tvb_A|P04439|AC	1tvb_C|P40967|AC
1un0_A|Q02821|AC	1un0_C|P32499|AC
1uti_A|O89100|AD	1uti_D|P70218|AD
1uxs_A|P01889|AC	1uxs_C|P13285|AC
1vf5_B|P83792|BG	1vf5_G|P83797|BG
1vf5_C|P83793|CG	1vf5_G|P83797|CG
1vf5_F|P83796|FG	1vf5_G|P83797|FG
1vzj_B|P22303|BI=CI=DI	1vzj_I|Q9Y215|BI=CI=DI
1w70_A|Q15080|AC	1w70_C|P14598|AC
1w80_A|P17427|AP	1w80_P|O43426|AP
1wa7_A|P07948|AB	1wa7_B|P22575|AB
1wbx_A|P01899|AC	1wbx_C|P26140|AC
1wlp_B|P14598|BA	1wlp_A|P13498|BA
1y19_B|P26039|BA=DA	1y19_A|O70161|BA=DA
1y2a_C|P52293|CP	1y2a_P|O15162|CP
1yfn_A|P0AFZ3|AE=CE	1yfn_E|P0AFX7|AE=CE
1yp0_A|P33242|AB	1yp0_B|P97947|AB
1yr5_A|P0DP23|AB	1yr5_B|P53355|AB
1yyp_A|P16790|AB	1yyp_B|P08546|AB
1z9o_A|Q9Z270|AG=CG	1z9o_G|Q8K4M9|AG=CG
1zhb_A|P01899|AC	1zhb_C|Q05754|AC
1zms_A|Q13114|AB	1zms_B|P13198|AB
1zub_A|Q9JIR4|AB	1zub_B|Q811U3|AB
1zuk_A|P47068|AC=BC	1zuk_C|Q12446|AC=BC
1zzd_A|P21524|AB	1zzd_B|P49723|AB
2a25_A|Q8IUQ4|AB	2a25_B|Q9HB71|AB
2a3z_A|P68135|AC	2a3z_C|P42768|AC
2a40_A|P68135|AC	2a40_C|Q9Y6W5|AC
2a4j_A|P41208|AB	2a4j_B|Q01831|AB
2a83_A|P01889|AC	2a83_C|P47871|AC
2ain_A|P55196|AB	2ain_B|P11274|AB
2auc_C|D0VWV5|CD	2auc_D|Q7RQ71|CD
2bbm_A|P62152|AB	2bbm_B|P07313|AB
2bn5_A|Q7JPS0|AB	2bn5_B|P17133|AB
2bp3_B|P21333|BS	2bp3_S|P07359|BS
2bp5_M|P84092|MP	2bp5_P|P51577|MP
2br8_A|Q8WSF8|AF=BF	2br8_F|P50984|AF=BF
2brq_A|P21333|AC	2brq_C|P26010|AC
2bst_A|P01889|AC	2bst_C|P03466|AC
2byp_A|Q8WSF8|AF=EF	2byp_F|P50983|AF=EF
2c5i_T|Q03322|TP	2c5i_P|P36116|TP
2cik_A|O19626|AC	2cik_C|P33260|AC
2clv_A|P01901|AC	2clv_C|Q91YE7|AC
2czy_A|Q62141|AB	2czy_B|Q13127|AB
2d1k_A|P68135|AC	2d1k_C|O43312|AC
2d1k_B|P00639|BC	2d1k_C|O43312|BC
2d2c_F|P83796|FH	2d2c_H|P83798|FH
2d3g_A|P0CH28|AP=BP	2d3g_P|O14964|AP=BP
2djy_A|Q9HAU4|AB	2djy_B|O15105|AB
2dp4_E|P06873|EI	2dp4_I|P02788|EI
2drk_A|P19706|AB	2drk_B|P90630|AB
2dyf_A|O75400|AB	2dyf_B|P47068|AB
2ez5_W|Q9VVI3|WP	2ez5_P|Q24139|WP
2f31_A|Q3US76|AB	2f31_B|O08808|AB
2ff6_A|P68135|AH	2ff6_H|Q8IRS7|AH
2fka_A|P0A2D5|AB	2fka_B|P07800|AB
2flu_X|Q14145|XP	2flu_P|Q16236|XP
2fo4_A|Q3UBW0|AP	2fo4_P|P15941|AP
2fop_A|Q93009|AB	2fop_B|Q00987|AB
2fot_A|P62157|AC	2fot_C|Q13813|AC
2fse_C|P01903|CF	2fse_F|P02458|CF
2gl7_A|P35222|AC	2gl7_C|O00512|AC
2gt9_A|P04439|AC	2gt9_C|Q16655|AC
2h1c_A|Q5F882|AB	2h1c_B|Q5F881|AB
2h4m_A|Q92973|AC	2h4m_C|P09651|AC
2hqh_A|Q14203|AE=BE	2hqh_E|P30622|AE=BE
2hqw_A|P0DP29|AB	2hqw_B|P35439|AB
2hsq_A|P18206|AB	2hsq_B|Q6XVZ2|AB
2hzs_F|P32585|FI	2hzs_I|P38304|FI
2i32_A|Q9Y294|AE	2i32_E|P54198|AE
2isq_A|P47998|AB	2isq_B|Q42588|AB
2iv9_A|P63010|AP=BP	2iv9_P|P42566|AP=BP
2ivz_A|P0A855|AE	2ivz_E|P09883|AE
2j0u_A|P38919|AT	2j0u_T|O15234|AT
2jby_A|Q85295|AB	2jby_B|Q16611|AB
2jdl_A|P09989|AC	2jdl_C|P05387|AC
2jk9_A|Q96BD6|AB	2jk9_B|Q96IZ0|AB
2jmx_A|P13621|AB	2jmx_B|P19483|AB
2jqk_A|O75351|AB	2jqk_B|Q9UQN3|AB
2jw1_A|P0A1X2|AB	2jw1_B|Q04641|AB
2jz3_C|P83940|CA	2jz3_A|O35718|CA
2k00_A|P54939|AB	2k00_B|Q8C351|AB
2k2f_A|P35467|AC	2k2f_C|B0LPN4|AC
2k2i_A|P41208|AB	2k2i_B|A8K8P3|AB
2k6q_A|Q62625|AB	2k6q_B|O08623|AB
2koh_A|Q99NH2|AB	2koh_B|P55284|AB
2kpz_A|P46934|AB	2kpz_B|P0C210|AB
2kq0_A|P46934|AB	2kq0_B|Q05128|AB
2kqs_A|P63165|AB	2kqs_B|Q9UER7|AB
2ks9_A|P25103|AB	2ks9_B|P20366|AB
2kwf_A|Q92793|AB	2kwf_B|P15884|AB
2l0y_A|Q8N4Q1|AB	2l0y_B|Q14061|AB
2l8j_A|Q9H0R8|AB	2l8j_B|Q14596|AB
2las_A|P63165|AB	2las_B|P49792|AB
2le8_A|Q14566|AB	2le8_B|Q9H211|AB
2leh_A|O14893|AB	2leh_B|Q16637|AB
2llo_A|P0DP33|AB	2llo_B|P03372|AB
2lox_A|P32776|AB	2lox_B|P07276|AB
2loz_A|Q63HR2|AB	2loz_B|Q96QB1|AB
2lp0_A|P31274|AB	2lp0_B|O75496|AB
2lsk_A|Q9UBZ9|AB	2lsk_B|Q9Y253|AB
2lxp_A|P60604|AB	2lxp_B|Q9UKV5|AB
2m14_A|P32776|AB	2m14_B|P14736|AB
2m41_B|P54253|BA	2m41_A|Q96RK0|BA
2mak_A|Q13586|AB=CB	2mak_B|Q96D31|AB=CB
2mc6_A|Q8LTJ5|AB	2mc6_B|Q8KTH8|AB
2mho_A|P31016|AB	2mho_B|P08909|AB
2mkc_A|P40565|AB	2mkc_B|Q07930|AB
2mow_A|P53617|AB	2mow_B|P53632|AB
2mp2_A|P55854|AC=BC	2mp2_C|Q9QZS2|AC=BC
2mtp_A|P21333|AB	2mtp_B|P08514|AB
2mtp_C|P05106|CB	2mtp_B|P08514|CB
2mwn_B|Q9Y490|BA	2mwn_A|Q7Z5R6|BA
2n0y_A|P32776|AB	2n0y_B|P21698|AB
2n2h_B|Q60520|BA	2n2h_A|Q8BR65|BA
2n3k_A|O60885|AB	2n3k_B|Q8UN00|AB
2n9x_A|Q9GZQ8|AB	2n9x_B|Q8IVP5|AB
2ncz_A|O60885|AB	2ncz_B|Q9BZ95|AB
2nnu_A|P03120|AB	2nnu_B|O60885|AB
2npi_A|Q08685|AC	2npi_C|P39081|AC
2nud_A|P13835|AC	2nud_C|Q8GYN5|AC
2od8_A|P15873|AB	2od8_B|P04819|AB
2oje_A|P01903|AC	2oje_C|Q91LS8|AC
2oje_B|P01911|BC	2oje_C|Q91LS8|BC
2oje_D|Q48898|DC	2oje_C|Q91LS8|DC
2os6_A|Q9NZN5|AB	2os6_B|O43157|AB
2p2t_A|Q24117|AC	2p2t_C|Q24246|AC
2p4r_A|O55043|AT	2p4r_T|Q96J02|AT
2phe_A|P53999|AC=BC	2phe_C|P06492|AC=BC
2pqn_A|P40515|AB	2pqn_B|P47025|AB
2pv1_A|P0ABZ6|AB	2pv1_B|Q2RHX9|AB
2pv9_B|P19221|BC	2pv9_C|O88634|BC
2q5d_B|Q14974|BD	2q5d_D|O95149|BD
2qiy_A|P53741|AC	2qiy_C|Q01477|AC
2qos_C|P07360|CA	2qos_A|P07357|CA
2rky_C|P02751|CB	2rky_B|P14738|CB
2rpn_A|P15891|AB	2rpn_B|P53974|AB
2vbc_A|Q2TN89|AB	2vbc_B|Q91EQ2|AB
2vda_A|P10408|AB	2vda_B|Q8CVI4|AB
2vj0_A|P17427|AQ	2vj0_Q|O08838|AQ
2vkn_A|P40073|AC	2vkn_C|P08018|AC
2vog_A|Q07440|AB	2vog_B|Q91ZE9|AB
2voi_A|Q07440|AB	2voi_B|P70444|AB
2w2h_A|Q9XT26|AC	2w2h_C|P20920|AC
2w2u_A|Q877H3|AC	2w2u_C|Q4J924|AC
2w6i_G|P05631|GI	2w6i_I|P05632|GI
2w84_A|O75381|AB	2w84_B|P50542|AB
2w9r_A|P0A8Q6|AB	2w9r_B|P0ABT2|AB
2wax_C|P26196|CD	2wax_D|Q96F86|CD
2wh0_A|P63104|AQ=BQ	2wh0_Q|Q02156|AQ=BQ
2ws9_3|Q91B37|34	2ws9_4|B9VV85|34
2ww9_A|P38353|AC	2ww9_C|P52871|AC
2x4r_A|P04439|AC	2x4r_C|P06725|AC
2xcb_A|Q9I325|AC	2xcb_C|O50280|AC
2xfx_A|Q30291|AC	2xfx_C|Q4MYJ2|AC
2xjz_A|P25791|AI=BI	2xjz_I|Q86U70|AI=BI
2xpn_A|Q8SUS7|AB	2xpn_B|Q8SRG7|AB
2xs8_A|Q8WUM4|AB	2xs8_B|Q02843|AB
2xu7_B|Q09028|BC	2xu7_C|Q8IX07|BC
2xze_A|O95630|AQ	2xze_Q|Q9Y3E7|AQ
2y48_A|O60341|AC	2y48_C|O95863|AC
2y9q_A|P28482|AB	2y9q_B|Q9BUB5|AB
2yb8_B|Q24572|BA	2yb8_A|Q9NJG9|BA
2ybf_A|P63146|AB	2ybf_B|Q9NS91|AB
2ydq_A|Q0TR53|AT	2ydq_T|O60502|AT
2z32_A|Q9Z2X8|AB	2z32_B|P26350|AB
2z34_A|O74515|AC=BC	2z34_C|P87314|AC=BC
2z3f_A|O74515|AI=HI	2z3f_I|O13985|AI=HI
2z5k_A|Q92973|AB	2z5k_B|Q9UBU9|AB
2zpy_A|P26043|AB	2zpy_B|P15379|AB
3a0b_J|Q7DGD4|JY	3a0b_Y|D0VWR3|JY
3a0b_K|P19054|KY	3a0b_Y|D0VWR3|KY
3a0b_Z|D0VWR5|ZY	3a0b_Y|D0VWR3|ZY
3a9k_A|P0CG50|AC=BC	3a9k_C|Q571K4|AC=BC
3aa1_B|P14315|BC	3aa1_C|Q53GL0|BC
3aa6_B|P14315|BC	3aa6_C|Q9Y5K6|BC
3am7_A|P06730|AB	3am7_B|Q13542|AB
3asw_A|Q7A382|AB	3asw_B|P13645|AB
3b1j_A|Q9R6W2|AC	3b1j_C|Q6BBK3|AC
3b23_B|P00734|BC	3b23_C|P85800|BC
3b8e_A|P05024|AG	3b8e_G|Q58K79|AG
3bg4_B|P00766|BA=CA	3bg4_A|P00767|BA=CA
3bim_A|P41182|AI=BI	3bim_I|Q6W2J9|AI=BI
3bin_A|Q9Y2J2|AB	3bin_B|Q9BY67|AB
3bqo_A|P54274|AB	3bqo_B|Q9BSI4|AB
3brd_A|V6CLJ5|AD	3brd_D|P14585|AD
3btp_A|P08062|AB	3btp_B|P08063|AB
3btr_C|P52293|CB	3btr_B|P10275|CB
3c2g_A|Q9XVI2|AC	3c2g_C|Q10666|AC
3cv0_A|Q57W55|AB	3cv0_B|P13377|AB
3dda_A|P0DPI1|AB	3dda_B|P60880|AB
3dkt_A|Q9WZP2|AK	3dkt_K|Q9WZP3|AK
3e6f_A|P01900|AP	3e6f_P|P05878|AP
3ech_B|P52003|BC	3ech_C|Q9HXS2|BC
3efo_B|O94855|BC	3efo_C|Q13190|BC
3eg9_B|O94855|BC	3eg9_C|O14653|BC
3eu7_A|Q86YC2|AX	3eu7_X|P51587|AX
3ewt_A|P0DP23|AE	3ewt_E|P25445|AE
3ewv_A|P0DP23|AE	3ewv_E|P08138|AE
3f7d_A|P33242|AB	3f7d_B|O70343|AB
3fp7_E|P00763|EI	3fp7_I|P00974|EI
3ggz_A|P53843|AE	3ggz_E|P69771|AE
3gjo_A|Q15691|AE=BE	3gjo_E|Q03001|AE=BE
3gli_B|P06710|BO=CO=DO	3gli_O|P28632|BO=CO=DO
3gp2_A|P62149|AB	3gp2_B|Q13557|AB
3gs2_A|Q99496|AD=CD	3gs2_D|O95931|AD=CD
3h52_B|P04150|BM	3h52_M|O75376|BM
3hqm_A|O43791|AC	3hqm_C|P19538|AC
3i7l_A|Q16531|AB	3i7l_B|Q92466|AB
3i7o_A|Q16531|AB	3i7o_B|Q58WW2|AB
3i89_A|Q16531|AB	3i89_B|Q96JK2|AB
3i8c_A|Q16531|AB	3i8c_B|Q8WV16|AB
3i8e_A|Q16531|AC	3i8e_C|Q5TAQ9|AC
3iax_A|P0A855|AB	3iax_B|P04480|AB
3ici_A|P23284|AC	3ici_C|E2RA18|AC
3iec_A|Q7KZI7|AE	3iec_E|P55980|AE
3jb6_A|D0EZK6|AC	3jb6_C|D3JWE6|AC
3kl8_A|O62305|AF=GF	3kl8_F|Q9JI15|AF=GF
3ktr_A|P11940|AB	3ktr_B|Q99700|AB
3kuj_A|P11940|AB	3kuj_B|Q8IYD1|AB
3l3h_A|P01899|AC	3l3h_C|Q17TI0|AC
3l3x_A|P10275|AB	3l3x_B|Q9Y6Q9|AB
3lcn_A|P32505|AC	3lcn_C|Q04839|AC
3lge_A|P00883|AE	3lge_E|Q9Y5X1|AE
3lny_A|Q12923|AB	3lny_B|Q8TEU7|AB
3m1f_A|P68135|AV	3m1f_V|Q87GE5|AV
3mre_A|P04439|AP	3mre_P|Q3KSU1|AP
3mrk_A|P04439|AP	3mrk_P|P02771|AP
3n2d_A|D9J2T9|AB	3n2d_B|P02400|AB
3n9z_A|P05108|AC	3n9z_C|P10109|AC
3ogk_B|O04197|BQ	3ogk_Q|Q9LMA8|BQ
3p87_A|P12004|AG=DG	3p87_G|Q5TBB1|AG=DG
3pe4_A|O15294|AB	3pe4_B|P68400|AB
3pmk_A|B7UCZ2|AO=DO	3pmk_O|B7UCZ3|AO=DO
3puj_A|P61765|AC	3puj_C|P70452|AC
3pwv_A|Q95477|AC	3pwv_C|Q9YKD7|AC
3q6s_A|P83916|AE=BE=CE	3q6s_E|Q5FBB7|AE=BE=CE
3qhe_A|P25054|AB	3qhe_B|Q07666|AB
3qib_A|P04224|AP	3qib_P|P00039|AP
3r9i_A|P0AEZ3|AE=BE	3r9i_E|P0A734|AE=BE
3rz9_A|P52293|AB	3rz9_B|P13010|AB
3si5_A|O60566|AX	3si5_X|Q8NG31|AX
3so6_A|D3ZAR1|AQ	3so6_Q|P01130|AQ
3soq_A|O75581|AZ	3soq_Z|O94907|AZ
3sp6_A|Q07869|AB	3sp6_B|Q86YN6|AB
3ssb_B|P00800|BJ	3ssb_J|P82176|BJ
3tdi_B|Q12395|BC	3tdi_C|P52491|BC
3tei_A|P28482|AB	3tei_B|Q15418|AB
3tie_A|P01901|AC	3tie_C|Q49PI7|AC
3tj5_A|P18206|AB	3tj5_B|B0BXR4|AB
3twr_A|Q9H2K2|AE=BE=DE	3twr_E|P78314|AE=BE=DE
3twu_A|Q9H2K2|AB	3twu_B|Q07820|AB
3u23_A|Q9Y5K6|AB	3u23_B|Q8TB24|AB
3u3w_A|Q45782|AP	3u3w_P|B7IR02|AP
3u7d_A|O00522|AB	3u7d_B|Q9ULI3|AB
3u86_A|O00255|AB	3u86_B|P17535|AB
3uo1_L|A2NHM3|LP	3uo1_P|P01897|LP
3uvo_A|P61964|AB	3uvo_B|Q9UPS6|AB
3v2o_A|Q9H9E1|AB	3v2o_B|P98158|AB
3v30_A|O14593|AB	3v30_B|P48382|AB
3ve6_A|P52293|AB	3ve6_B|P09592|AB
3viv_A|O59179|AC=BC	3viv_C|O59180|AC=BC
3vxw_A|P38182|AB	3vxw_B|P40458|AB
3w1b_A|P49917|AB	3w1b_B|Q96SD1|AB
3w3w_A|P32337|AB	3w3w_B|P13574|AB
3w3x_A|P32337|AB	3w3x_B|P07270|AB
3w3y_A|P32337|AB	3w3y_B|Q03790|AB
3wbk_A|P39730|AC	3wbk_C|P38912|AC
3wim_A|O95166|AB	3wim_B|Q8IZQ1|AB
3wut_A|Q53EZ4|AC=BC	3wut_C|Q8IWB6|AC=BC
3x11_A|P01889|AC	3x11_C|P01834|AC
3zed_A|P22173|AD	3zed_D|P05844|AD
3zhf_A|O75843|AB	3zhf_B|Q67953|AB
3zil_A|Q75E93|AB	3zil_B|Q75FB3|AB
3zke_A|P63167|AB=CB	3zke_B|Q8TD19|AB=CB
3zrz_A|P02751|AC	3zrz_C|Q711B0|AC
4a1s_B|Q9VB22|BE	4a1s_E|Q9W2R4|BE
4aa2_A|Q10714|AP	4aa2_P|P01021|AP
4aid_A|Q9AC32|AF	4aid_F|Q9A749|AF
4apo_B|O00170|BD	4apo_D|Q15388|BD
4axg_B|P48598|BD	4axg_D|Q9VMA3|BD
4b6h_A|Q9NPI6|AC	4b6h_C|Q9NPJ4|AC
4bxf_A|Q8IUF8|AC	4bxf_C|P46776|AC
4bxr_A|E7FCY1|AC	4bxr_C|Q8JGS1|AC
4c31_A|P46674|AC	4c31_C|P20676|AC
4c31_B|Q6WNK7|BC	4c31_C|P20676|BC
4c5h_A|Q9VK33|AB	4c5h_B|Q8ST83|AB
4c93_A|Q01454|AD	4c93_D|P13382|AD
4c95_A|Q01454|AD	4c95_D|Q03406|AD
4cay_A|P0C0S5|AC	4cay_C|Q9BTT0|AC
4cay_B|P06899|BC	4cay_C|Q9BTT0|BC
4cc3_A|Q6XZF7|AB	4cc3_B|Q03173|AB
4cc9_A|Q9Y4B6|AC	4cc9_C|Q9Y3Z3|AC
4cfh_B|O43741|BC	4cfh_C|P54645|BC
4cfh_E|P80385|EC	4cfh_C|P54645|EC
4cfq_A|P26447|AQ=BQ	4cfq_Q|P35579|AQ=BQ
4chg_A|P9WF97|AG=BG	4chg_G|P9WLM7|AG=BG
4cqo_A|A5YKK6|AB=CB	4cqo_B|Q8WY41|AB=CB
4cr2_R|Q06103|RY	4cr2_Y|O94742|RY
4cug_A|D0MK34|AE	4cug_E|D0MGW1|AE
4cvx_A|O46789|AC	4cvx_C|Q5ZJG4|AC
4cy2_A|P61964|AC	4cy2_C|Q9H9L4|AC
4cy5_A|Q9V3J8|AC	4cy5_C|Q9VAF4|AC
4d07_A|Q96FJ2|AB	4d07_B|Q9Y4I1|AB
4d2g_C|P12004|CD	4d2g_D|Q15004|CD
4day_A|Q9H9A7|AC	4day_C|Q8IYD8|AC
4dc2_A|Q62074|AZ	4dc2_Z|Q9Z340|AZ
4dt7_B|P00734|BE	4dt7_E|P04070|BE
4dx9_5|O14713|56	4dx9_6|P05556|56
4dxs_A|Q9UH99|AB	4dxs_B|Q8WXH0|AB
4e06_H|P00734|HI	4e06_I|Q9NJS1|HI
4e17_A|P12003|AB	4e17_B|P26231|AB
4e81_A|P0A6Y8|AC=BC	4e81_C|Q06602|AC=BC
4ezs_A|P0A6Y8|AB	4ezs_B|Q24395|AB
4ezt_A|P0A6Y8|AB	4ezt_B|P83427|AB
4faj_A|Q51643|AB	4faj_B|P20104|AB
4fdd_A|Q92973|AB	4fdd_B|P35637|AB
4fmn_A|P38920|AC	4fmn_C|Q08214|AC
4ftg_A|P60903|AE=BE	4ftg_E|Q09666|AE=BE
4g2v_A|Q8VDU0|AB	4g2v_B|Q5SYB0|AB
4gba_A|Q8IWE4|AF	4gba_F|Q969M7|AF
4gnt_A|Q9CQV8|AB	4gnt_B|Q99MZ3|AB
4gow_D|P0DP23|DA	4gow_A|P56696|DA
4gur_A|Q8NB78|AB	4gur_B|Q49A26|AB
4gxb_A|Q15036|AB	4gxb_B|Q01102|AB
4h2t_A|Q89VT8|AC	4h2t_C|Q89VT6|AC
4h36_A|P53779|AB	4h36_B|P15336|AB
4h3b_A|P53779|AB	4h3b_B|O60239|AB
4hre_A|P07356|AG	4hre_G|Q14527|AG
4hre_E|P60903|EG	4hre_G|Q14527|EG
4i2w_A|G5EG62|AB	4i2w_B|P09446|AB
4iga_A|Q56312|AB	4iga_B|Q9WZE6|AB
4j09_A|P0A722|AB	4j09_B|P39352|AB
4j2c_A|O43752|AB	4j2c_B|Q9UID3|AB
4j79_A|P41811|AB	4j79_B|Q91AV1|AB
4j86_A|P41811|AC	4j86_C|P33767|AC
4jhj_A|Q5EAQ1|AC=BC	4jhj_C|Q7ZU28|AC=BC
4jo8_A|Q6XK91|AB	4jo8_B|Q60682|AB
4js0_A|P60953|AB	4js0_B|Q9UQB8|AB
4jwc_A|P0A6Y8|AC	4jwc_C|P19661|AC
4k0u_A|Q01567|AB	4k0u_B|Q01565|AB
4kmd_A|Q9UMX1|AB	4kmd_B|P08151|AB
4kp3_A|Q99104|AE	4kp3_E|Q91V27|AE
4kts_A|P00760|AB	4kts_B|B2G3C8|AB
4kyt_A|P04191|AB	4kyt_B|P61012|AB
4lcd_A|P39940|AC	4lcd_C|P14359|AC
4lcy_A|P01889|AC	4lcy_C|P17763|AC
4lg6_A|Q9H9E1|AB	4lg6_B|Q9H0W5|AB
4ln2_A|Q9BX66|AB	4ln2_B|P18206|AB
4m1l_A|P0DP23|AB	4m1l_B|Q9H095|AB
4m7c_A|Q15554|AC	4m7c_C|Q8IY92|AC
4m92_A|Q13454|AB	4m92_B|Q9NZN1|AB
4mmy_A|P06756|AC	4mmy_C|P02751|AC
4mmy_B|P05106|BC	4mmy_C|P02751|BC
4n1a_A|D1A4G7|AG	4n1a_G|D1A4H0|AG
4n39_A|O15294|AB	4n39_B|P51610|AB
4n7g_A|P63104|AB	4n7g_B|Q93SQ3|AB
4n7h_A|P46934|AB	4n7h_B|Q96B67|AB
4nf9_A|Q8NG31|AC	4nf9_C|Q96IY1|AC
4nxq_A|Q13009|AD	4nxq_D|Q9C0A0|AD
4odk_A|Q5SLE7|AB	4odk_B|P00651|AB
4oed_A|P10275|AB	4oed_B|P41223|AB
